Sucursal,Producto,Año,Mes,Unidades_vendidas,Ingreso_total,Costo_total
Sucursal Sur,Coca Cola,2020,5,10729,22107194.57,14180704.37
Sucursal Sur,Fanta,2020,5,2185,4269241.8,3290140.25
Sucursal Sur,Sprite,2020,5,8655,16525523.7,10951805.44
Sucursal Sur,7 Up,2020,5,1010,1398404.46,1024694.83
Sucursal Sur,Pepsi,2020,5,7887,14564331.52,10814326.47
Sucursal Norte,Coca Cola,2020,6,9233,17287394.95,10580975.59
Sucursal Norte,Fanta,2020,6,1800,2979025.28,1956355.41
Sucursal Norte,Sprite,2020,6,8287,16484935.27,10756463.77
Sucursal Norte,7 Up,2020,6,1099,1636441.37,1029979.69
Sucursal Norte,Pepsi,2020,6,7450,11915107.59,8056444.84
Sucursal Centro,Coca Cola,2020,6,10602,21077020.22,13003491.69
Sucursal Centro,Fanta,2020,6,1914,3162572.06,2351928.55
Sucursal Centro,Sprite,2020,6,8088,14667784.95,11471131.59
Sucursal Centro,7 Up,2020,6,976,1564013.64,1202501.33
Sucursal Centro,Pepsi,2020,6,7631,14230198.05,9752095.76
Sucursal Sur,Coca Cola,2020,6,10398,21553972.7,15630677.41
Sucursal Sur,Fanta,2020,6,1891,3514924.95,2263914.56
Sucursal Sur,Sprite,2020,6,7757,16201625.48,10778864.03
Sucursal Sur,7 Up,2020,6,1034,1543291.73,1015908.86
Sucursal Sur,Pepsi,2020,6,8411,15653744.29,10982372.11
Sucursal Norte,Coca Cola,2020,7,9766,18370893.46,13732374.89
Sucursal Norte,Fanta,2020,7,2151,4028545.94,2489029.87
Sucursal Norte,Sprite,2020,7,7634,13144461.7,8699267.81
Sucursal Norte,7 Up,2020,7,932,1277503.18,838473.16
Sucursal Norte,Pepsi,2020,7,7873,14308828.19,10091924.29
Sucursal Centro,Coca Cola,2020,7,10983,21950429.68,13801662.29
Sucursal Centro,Fanta,2020,7,1872,3246446.42,1992968.22
Sucursal Centro,Sprite,2020,7,8209,16378831.44,9883523.92
Sucursal Centro,7 Up,2020,7,1006,1528421.05,1029601.22
Sucursal Centro,Pepsi,2020,7,7261,12892723.89,9021448.46
Sucursal Sur,Coca Cola,2020,7,10114,21780793.21,15542421.89
Sucursal Sur,Fanta,2020,7,1840,3130632.12,2495198.73
Sucursal Sur,Sprite,2020,7,7760,13541986.18,9005502.48
Sucursal Sur,7 Up,2020,7,917,1260501.41,909515.36
Sucursal Sur,Pepsi,2020,7,8555,14653770.21,9965905.65
Sucursal Norte,Coca Cola,2020,8,9466,17831632.21,14180213.17
Sucursal Norte,Fanta,2020,8,1902,3613607.77,2403839.79
Sucursal Norte,Sprite,2020,8,8488,15165187.34,11008647.58
Sucursal Norte,7 Up,2020,8,906,1241421.75,904223.63
Sucursal Norte,Pepsi,2020,8,8317,15275891.06,12076948.08
Sucursal Centro,Coca Cola,2020,8,9632,19001095.92,14213167.91
Sucursal Centro,Fanta,2020,8,2018,3684035.73,2588948.36
Sucursal Centro,Sprite,2020,8,8328,15546380.19,11444204.9
Sucursal Centro,7 Up,2020,8,902,1395338.54,910332.73
Sucursal Centro,Pepsi,2020,8,8219,14922308.85,9540629.48
Sucursal Sur,Coca Cola,2020,8,10891,20236243.27,12776149.24
Sucursal Sur,Fanta,2020,8,2178,3693043.36,2405560.09
Sucursal Sur,Sprite,2020,8,8778,17664188.63,11225161.31
Sucursal Sur,7 Up,2020,8,922,1508323.72,1152641.47
Sucursal Sur,Pepsi,2020,8,8591,14802923.76,11129508.92
Sucursal Norte,Coca Cola,2020,9,9463,17490028.28,11156570.09
Sucursal Norte,Fanta,2020,9,2186,4040666.43,2924869.99
Sucursal Norte,Sprite,2020,9,7606,15460740.23,10202079.81
Sucursal Norte,7 Up,2020,9,1010,1564171.68,1215508.67
Sucursal Norte,Pepsi,2020,9,8294,13732916.77,8564066.12
Sucursal Centro,Coca Cola,2020,9,10346,21919109.46,13970461.47
Sucursal Centro,Fanta,2020,9,2026,3821321.83,3047321.53
Sucursal Centro,Sprite,2020,9,8470,16562838.5,12477619.17
Sucursal Centro,7 Up,2020,9,1027,1568295.2,1042459.57
Sucursal Centro,Pepsi,2020,9,8570,13268486.93,9706218.17
Sucursal Sur,Coca Cola,2020,9,9756,20588542.45,16276833.13
Sucursal Sur,Fanta,2020,9,1930,3132753.5,2446569.73
Sucursal Sur,Sprite,2020,9,8133,15888257.57,10542404.84
Sucursal Sur,7 Up,2020,9,1006,1628565.8,1018372.91
Sucursal Sur,Pepsi,2020,9,8572,14770513.99,9980850.7
Sucursal Norte,Coca Cola,2020,10,9240,20280545.12,15805203.87
Sucursal Norte,Fanta,2020,10,1975,3463923.4,2602079.84
Sucursal Norte,Sprite,2020,10,7485,14434723.33,10449109.66
Sucursal Norte,7 Up,2020,10,933,1275975.25,828343.3
Sucursal Norte,Pepsi,2020,10,7435,11790343.99,8940344.46
Sucursal Centro,Coca Cola,2020,10,9982,19249998.0,11608517.04
Sucursal Centro,Fanta,2020,10,2027,3904934.36,3089675.25
Sucursal Centro,Sprite,2020,10,7611,13482145.92,9104069.8
Sucursal Centro,7 Up,2020,10,927,1503578.32,1146970.91
Sucursal Centro,Pepsi,2020,10,8407,14357200.71,11014850.98
Sucursal Sur,Coca Cola,2020,10,9927,18920778.76,11825788.25
Sucursal Sur,Fanta,2020,10,2026,3427209.6,2431466.47
Sucursal Sur,Sprite,2020,10,8078,14437016.46,9207328.0
Sucursal Sur,7 Up,2020,10,1067,1525280.05,1038184.31
Sucursal Sur,Pepsi,2020,10,7320,13317288.52,9070677.84
Sucursal Norte,Coca Cola,2020,11,10771,20673364.76,13310306.93
Sucursal Norte,Fanta,2020,11,2061,4061828.59,2598562.53
Sucursal Norte,Sprite,2020,11,7896,15984589.0,10537857.1
Sucursal Norte,7 Up,2020,11,996,1498113.77,1047714.16
Sucursal Norte,Pepsi,2020,11,8511,14087502.52,9504441.68
Sucursal Centro,Coca Cola,2020,11,10680,19430135.84,14274152.75
Sucursal Centro,Fanta,2020,11,2108,3488406.29,2692419.45
Sucursal Centro,Sprite,2020,11,7874,13553533.25,9073756.06
Sucursal Centro,7 Up,2020,11,1051,1569100.28,1132060.19
Sucursal Centro,Pepsi,2020,11,7562,13441615.13,8465085.7
Sucursal Sur,Coca Cola,2020,11,10359,22704194.93,17183273.79
Sucursal Sur,Fanta,2020,11,1829,3615780.37,2662244.85
Sucursal Sur,Sprite,2020,11,8783,15138886.09,9526898.02
Sucursal Sur,7 Up,2020,11,1047,1636488.89,1041348.43
Sucursal Sur,Pepsi,2020,11,8328,13605218.18,9360974.95
Sucursal Norte,Coca Cola,2020,12,9718,19703759.98,13459249.8
Sucursal Norte,Fanta,2020,12,2018,3686770.18,2457584.82
Sucursal Norte,Sprite,2020,12,7308,13582069.32,8783867.08
Sucursal Norte,7 Up,2020,12,1056,1604586.08,1178503.36
Sucursal Norte,Pepsi,2020,12,7952,14429253.42,10074624.59
Sucursal Centro,Coca Cola,2020,12,9696,20003205.21,12537419.43
Sucursal Centro,Fanta,2020,12,1859,3372375.75,2260305.21
Sucursal Centro,Sprite,2020,12,8723,17544714.58,11506272.75
Sucursal Centro,7 Up,2020,12,1015,1623095.2,1148909.54
Sucursal Centro,Pepsi,2020,12,7930,12578357.87,8574008.38
Sucursal Sur,Coca Cola,2020,12,9644,20808685.23,14388215.03
Sucursal Sur,Fanta,2020,12,2159,3554303.77,2761352.33
Sucursal Sur,Sprite,2020,12,7742,13281011.4,8085505.97
Sucursal Sur,7 Up,2020,12,940,1452833.22,1013005.04
Sucursal Sur,Pepsi,2020,12,7979,14211822.63,11090700.1
Sucursal Norte,Coca Cola,2021,1,11177,29520897.12,23446473.06
Sucursal Norte,Fanta,2021,1,1658,2296288.18,1472146.26
Sucursal Norte,Sprite,2021,1,6755,14802467.87,11718124.04
Sucursal Norte,7 Up,2021,1,1458,2354872.01,1653082.16
Sucursal Norte,Pepsi,2021,1,8221,15871936.59,11671669.8
Sucursal Centro,Coca Cola,2021,1,10989,31381892.14,23006118.34
Sucursal Centro,Fanta,2021,1,1442,2010365.54,1301572.57
Sucursal Centro,Sprite,2021,1,6895,13488053.67,10716192.14
Sucursal Centro,7 Up,2021,1,1633,2393828.7,1659819.48
Sucursal Centro,Pepsi,2021,1,7941,15399942.51,10415447.92
Sucursal Sur,Coca Cola,2021,1,11753,32563721.35,22704366.26
Sucursal Sur,Fanta,2021,1,1731,2692322.85,2036061.96
Sucursal Sur,Sprite,2021,1,7382,14770380.28,8997288.25
Sucursal Sur,7 Up,2021,1,1356,2094656.89,1313313.93
Sucursal Sur,Pepsi,2021,1,7985,15904877.28,10154214.14
Sucursal Norte,Coca Cola,2021,2,11627,29871836.94,18244557.22
Sucursal Norte,Fanta,2021,2,1507,2099670.38,1318813.3
Sucursal Norte,Sprite,2021,2,6505,14501138.23,11141332.04
Sucursal Norte,7 Up,2021,2,1491,2213664.89,1681019.02
Sucursal Norte,Pepsi,2021,2,7458,13796182.87,10654682.8
Sucursal Centro,Coca Cola,2021,2,10022,28495442.15,17812146.27
Sucursal Centro,Fanta,2021,2,1492,2009307.03,1410972.8
Sucursal Centro,Sprite,2021,2,7307,14612606.58,9095647.61
Sucursal Centro,7 Up,2021,2,1517,2182414.46,1313475.75
Sucursal Centro,Pepsi,2021,2,8498,16483792.59,10379392.08
Sucursal Sur,Coca Cola,2021,2,10190,28828156.79,20460745.14
Sucursal Sur,Fanta,2021,2,1513,2223852.6,1472728.58
Sucursal Sur,Sprite,2021,2,7419,16434098.22,13113168.07
Sucursal Sur,7 Up,2021,2,1577,2374246.74,1862464.27
Sucursal Sur,Pepsi,2021,2,7304,15340935.38,11178202.69
Sucursal Norte,Coca Cola,2021,3,11568,27283228.13,17147334.71
Sucursal Norte,Fanta,2021,3,1643,2265457.53,1441249.95
Sucursal Norte,Sprite,2021,3,7701,15657554.53,10871478.94
Sucursal Norte,7 Up,2021,3,1353,2200455.43,1541510.92
Sucursal Norte,Pepsi,2021,3,8272,17813954.12,11468850.61
Sucursal Centro,Coca Cola,2021,3,10401,24453178.75,17405241.82
Sucursal Centro,Fanta,2021,3,1510,2011428.44,1565908.28
Sucursal Centro,Sprite,2021,3,7690,16483771.28,10930460.08
Sucursal Centro,7 Up,2021,3,1417,2088791.52,1490283.78
Sucursal Centro,Pepsi,2021,3,7580,15743691.82,10855144.41
Sucursal Sur,Coca Cola,2021,3,11131,27939661.27,20444348.59
Sucursal Sur,Fanta,2021,3,1743,2511986.32,1781702.58
Sucursal Sur,Sprite,2021,3,6502,12318491.45,8773556.17
Sucursal Sur,7 Up,2021,3,1432,1960405.14,1484105.8
Sucursal Sur,Pepsi,2021,3,8730,16038885.3,9667359.51
Sucursal Norte,Coca Cola,2021,4,11696,31273172.8,20908750.89
Sucursal Norte,Fanta,2021,4,1501,2148901.96,1584386.09
Sucursal Norte,Sprite,2021,4,7118,15931312.5,11373551.55
Sucursal Norte,7 Up,2021,4,1640,2427524.02,1834826.95
Sucursal Norte,Pepsi,2021,4,8339,17185509.96,10413743.23
Sucursal Centro,Coca Cola,2021,4,9989,23620554.24,18204094.88
Sucursal Centro,Fanta,2021,4,1457,1962494.17,1463215.01
Sucursal Centro,Sprite,2021,4,7497,14714995.91,11410695.31
Sucursal Centro,7 Up,2021,4,1406,2178573.21,1318231.54
Sucursal Centro,Pepsi,2021,4,8051,14946460.7,11497791.42
Sucursal Sur,Coca Cola,2021,4,10284,25446913.22,17841147.04
Sucursal Sur,Fanta,2021,4,1588,2252976.72,1484771.64
Sucursal Sur,Sprite,2021,4,7523,14616537.36,10912197.66
Sucursal Sur,7 Up,2021,4,1580,2541475.85,1907658.21
Sucursal Sur,Pepsi,2021,4,8606,17709503.96,10851474.43
Sucursal Norte,Coca Cola,2021,5,11246,30554294.87,20359037.46
Sucursal Norte,Fanta,2021,5,1477,2234880.97,1462951.67
Sucursal Norte,Sprite,2021,5,7818,15220044.31,9741119.66
Sucursal Norte,7 Up,2021,5,1394,2209352.49,1493262.15
Sucursal Norte,Pepsi,2021,5,8369,18060139.47,14190348.89
Sucursal Centro,Coca Cola,2021,5,10930,30503542.68,19073875.97
Sucursal Centro,Fanta,2021,5,1673,2597249.85,1885053.2
Sucursal Centro,Sprite,2021,5,7108,15679843.48,10740537.87
Sucursal Centro,7 Up,2021,5,1399,1979740.7,1267027.4
Sucursal Centro,Pepsi,2021,5,8494,17531962.91,11730361.26
Sucursal Sur,Coca Cola,2021,5,11720,29457298.57,19782234.9
Sucursal Sur,Fanta,2021,5,1602,2470995.92,1555225.59
Sucursal Sur,Sprite,2021,5,6821,13250768.65,8047766.62
Sucursal Sur,7 Up,2021,5,1613,2256655.86,1544108.33
Sucursal Sur,Pepsi,2021,5,7342,16331400.74,11415483.58
Sucursal Norte,Coca Cola,2021,6,11904,29365980.17,19826622.18
Sucursal Norte,Fanta,2021,6,1685,2406677.33,1646728.86
Sucursal Norte,Sprite,2021,6,6607,14282328.03,8922619.59
Sucursal Norte,7 Up,2021,6,1584,2221253.6,1491061.07
Sucursal Norte,Pepsi,2021,6,7312,16288045.82,10952763.68
Sucursal Centro,Coca Cola,2021,6,11113,30931903.68,23867201.13
Sucursal Centro,Fanta,2021,6,1679,2185416.61,1482050.3
Sucursal Centro,Sprite,2021,6,7604,14381948.23,10091969.6
Sucursal Centro,7 Up,2021,6,1569,2190581.67,1642860.1
Sucursal Centro,Pepsi,2021,6,8084,17965500.2,11544235.36
Sucursal Sur,Coca Cola,2021,6,10432,25526300.63,20246012.39
Sucursal Sur,Fanta,2021,6,1470,2231266.1,1502382.36
Sucursal Sur,Sprite,2021,6,6772,13255008.77,8168587.05
Sucursal Sur,7 Up,2021,6,1443,2353717.42,1664641.74
Sucursal Sur,Pepsi,2021,6,8373,15912103.65,12587724.61
Sucursal Norte,Coca Cola,2021,7,10789,29253048.14,18995267.99
Sucursal Norte,Fanta,2021,7,1500,2231663.17,1481350.3
Sucursal Norte,Sprite,2021,7,6520,14513969.07,9395489.83
Sucursal Norte,7 Up,2021,7,1625,2532560.77,1806504.76
Sucursal Norte,Pepsi,2021,7,7238,14280642.48,10615027.03
Sucursal Centro,Coca Cola,2021,7,11885,29415794.53,22353716.15
Sucursal Centro,Fanta,2021,7,1445,2168523.27,1377465.08
Sucursal Centro,Sprite,2021,7,7380,14003958.55,10039706.37
Sucursal Centro,7 Up,2021,7,1569,2359441.96,1609244.3
Sucursal Centro,Pepsi,2021,7,8346,16933492.8,11511223.98
Sucursal Sur,Coca Cola,2021,7,11147,29100363.69,21442679.29
Sucursal Sur,Fanta,2021,7,1676,2366725.72,1873528.12
Sucursal Sur,Sprite,2021,7,6485,13708266.56,8452176.18
Sucursal Sur,7 Up,2021,7,1385,2068361.61,1255305.0
Sucursal Sur,Pepsi,2021,7,8253,17742781.92,13098952.73
Sucursal Norte,Coca Cola,2021,8,10895,25789692.96,19795417.98
Sucursal Norte,Fanta,2021,8,1738,2337952.82,1827026.92
Sucursal Norte,Sprite,2021,8,7847,16665949.26,10380370.83
Sucursal Norte,7 Up,2021,8,1429,1935705.06,1177787.66
Sucursal Norte,Pepsi,2021,8,7978,16587636.67,10984989.2
Sucursal Centro,Coca Cola,2021,8,11301,30125522.18,18758146.73
Sucursal Centro,Fanta,2021,8,1677,2303604.66,1642685.94
Sucursal Centro,Sprite,2021,8,6591,14003969.52,10297736.51
Sucursal Centro,7 Up,2021,8,1645,2591321.34,1756863.23
Sucursal Centro,Pepsi,2021,8,8515,17635259.57,10831203.88
Sucursal Sur,Coca Cola,2021,8,10779,26447177.66,18484912.24
Sucursal Sur,Fanta,2021,8,1578,2266980.39,1380227.98
Sucursal Sur,Sprite,2021,8,6629,13068041.89,8960212.0
Sucursal Sur,7 Up,2021,8,1626,2519237.34,1610955.82
Sucursal Sur,Pepsi,2021,8,8184,17221010.3,11381765.83
Sucursal Norte,Coca Cola,2021,9,10127,26363905.32,19633316.59
Sucursal Norte,Fanta,2021,9,1703,2250708.29,1406837.95
Sucursal Norte,Sprite,2021,9,6882,13393294.52,9712472.84
Sucursal Norte,7 Up,2021,9,1593,2489309.32,1856463.03
Sucursal Norte,Pepsi,2021,9,7898,15312469.66,11556862.11
Sucursal Centro,Coca Cola,2021,9,10661,26347516.53,18979000.18
Sucursal Centro,Fanta,2021,9,1481,2277046.84,1695476.13
Sucursal Centro,Sprite,2021,9,7673,16420662.23,11916732.41
Sucursal Centro,7 Up,2021,9,1394,2009205.66,1336860.06
Sucursal Centro,Pepsi,2021,9,7683,15106773.34,11033866.23
Sucursal Sur,Coca Cola,2021,9,11765,33108181.94,20429727.84
Sucursal Sur,Fanta,2021,9,1574,2434725.19,1882330.02
Sucursal Sur,Sprite,2021,9,7692,15743798.89,10744814.62
Sucursal Sur,7 Up,2021,9,1467,2186651.91,1419950.97
Sucursal Sur,Pepsi,2021,9,8081,17853048.47,12752863.75
Sucursal Norte,Coca Cola,2021,10,10442,27664943.95,18914215.51
Sucursal Norte,Fanta,2021,10,1623,2297030.98,1455984.89
Sucursal Norte,Sprite,2021,10,7022,13841186.01,8653975.63
Sucursal Norte,7 Up,2021,10,1447,2179693.69,1638696.87
Sucursal Norte,Pepsi,2021,10,7340,14633612.88,8912458.57
Sucursal Centro,Coca Cola,2021,10,10315,26967506.82,17860250.15
Sucursal Centro,Fanta,2021,10,1757,2496365.7,1752232.18
Sucursal Centro,Sprite,2021,10,7418,15655427.52,10906226.29
Sucursal Centro,7 Up,2021,10,1645,2318352.3,1562221.98
Sucursal Centro,Pepsi,2021,10,8428,17300630.85,12741989.27
Sucursal Sur,Coca Cola,2021,10,11905,31364295.04,21900301.55
Sucursal Sur,Fanta,2021,10,1568,2475290.64,1702141.46
Sucursal Sur,Sprite,2021,10,6744,13812604.14,9963050.19
Sucursal Sur,7 Up,2021,10,1440,2155063.03,1683709.83
Sucursal Sur,Pepsi,2021,10,7954,16316966.75,10536389.61
Sucursal Norte,Coca Cola,2021,11,10815,27801491.14,17175933.45
Sucursal Norte,Fanta,2021,11,1546,2217024.93,1612036.77
Sucursal Norte,Sprite,2021,11,6490,12839503.25,7759421.02
Sucursal Norte,7 Up,2021,11,1612,2248539.02,1686370.78
Sucursal Norte,Pepsi,2021,11,7598,15552802.62,10274194.71
Sucursal Centro,Coca Cola,2021,11,10315,25224456.04,20103876.36
Sucursal Centro,Fanta,2021,11,1474,1955911.6,1469478.26
Sucursal Centro,Sprite,2021,11,7030,15469716.11,10087679.53
Sucursal Centro,7 Up,2021,11,1619,2338484.89,1487925.59
Sucursal Centro,Pepsi,2021,11,8477,18631688.14,13574549.76
Sucursal Sur,Coca Cola,2021,11,10470,26074329.25,16983120.98
Sucursal Sur,Fanta,2021,11,1642,2380132.9,1575757.76
Sucursal Sur,Sprite,2021,11,7182,13693003.69,8580053.74
Sucursal Sur,7 Up,2021,11,1517,2455996.24,1600238.29
Sucursal Sur,Pepsi,2021,11,8631,18947966.83,13243797.24
Sucursal Norte,Coca Cola,2021,12,10840,29403028.68,19339858.69
Sucursal Norte,Fanta,2021,12,1555,2085647.86,1356144.88
Sucursal Norte,Sprite,2021,12,7617,16194861.06,11191643.07
Sucursal Norte,7 Up,2021,12,1353,2144234.67,1335378.12
Sucursal Norte,Pepsi,2021,12,7577,16039641.06,9654644.76
Sucursal Centro,Coca Cola,2021,12,11251,27216965.92,21624323.97
Sucursal Centro,Fanta,2021,12,1489,2166556.7,1427206.65
Sucursal Centro,Sprite,2021,12,6775,13973889.98,9271127.0
Sucursal Centro,7 Up,2021,12,1400,2283197.55,1813342.91
Sucursal Centro,Pepsi,2021,12,8547,17635197.48,10657720.37
Sucursal Sur,Coca Cola,2021,12,10264,25229928.67,19348222.47
Sucursal Sur,Fanta,2021,12,1543,2377629.96,1790674.94
Sucursal Sur,Sprite,2021,12,6923,15852821.63,10347268.0
Sucursal Sur,7 Up,2021,12,1364,1893043.21,1288254.83
Sucursal Sur,Pepsi,2021,12,7488,15268724.89,10119082.63
Sucursal Norte,Coca Cola,2022,1,13145,45902751.53,31284954.4
Sucursal Norte,Fanta,2022,1,1241,1434725.81,1106455.09
Sucursal Norte,Sprite,2022,1,7125,16297418.13,9809309.22
Sucursal Norte,7 Up,2022,1,2366,3291346.64,2394252.85
Sucursal Norte,Pepsi,2022,1,7205,16937844.73,10351795.14
Sucursal Centro,Coca Cola,2022,1,10958,33408396.3,20895790.03
Sucursal Centro,Fanta,2022,1,1405,1732054.22,1272216.87
Sucursal Centro,Sprite,2022,1,6789,14155785.44,9809430.31
Sucursal Centro,7 Up,2022,1,2226,3181516.84,1964728.77
Sucursal Centro,Pepsi,2022,1,7890,17638802.54,12977804.07
Sucursal Sur,Coca Cola,2022,1,11664,42752576.53,31695455.58
Sucursal Sur,Fanta,2022,1,1368,1431710.09,1030166.31
Sucursal Sur,Sprite,2022,1,6218,14662145.46,8865648.85
Sucursal Sur,7 Up,2022,1,2294,3751626.32,2814629.13
Sucursal Sur,Pepsi,2022,1,7543,18956648.49,14663024.07
Sucursal Norte,Coca Cola,2022,2,10911,37541809.86,29121115.93
Sucursal Norte,Fanta,2022,2,1250,1497613.68,1060420.29
Sucursal Norte,Sprite,2022,2,5896,13681429.17,9247655.73
Sucursal Norte,7 Up,2022,2,2416,3480645.39,2656716.01
Sucursal Norte,Pepsi,2022,2,7734,19449020.86,13205442.64
Sucursal Centro,Coca Cola,2022,2,12575,38554905.2,30370318.98
Sucursal Centro,Fanta,2022,2,1296,1491169.43,1114726.16
Sucursal Centro,Sprite,2022,2,6903,17012222.86,12339585.22
Sucursal Centro,7 Up,2022,2,2235,3662712.44,2678343.92
Sucursal Centro,Pepsi,2022,2,8798,20934667.72,15713248.2
Sucursal Sur,Coca Cola,2022,2,11532,36525220.91,29113578.49
Sucursal Sur,Fanta,2022,2,1205,1485038.44,1072913.66
Sucursal Sur,Sprite,2022,2,6758,16317441.75,11573563.48
Sucursal Sur,7 Up,2022,2,2420,3641320.86,2761152.17
Sucursal Sur,Pepsi,2022,2,8507,19149570.93,12617992.89
Sucursal Norte,Coca Cola,2022,3,11715,36049280.75,24933281.66
Sucursal Norte,Fanta,2022,3,1345,1556566.1,1057377.71
Sucursal Norte,Sprite,2022,3,6862,17328918.15,10737947.03
Sucursal Norte,7 Up,2022,3,2054,3256154.27,2592106.2
Sucursal Norte,Pepsi,2022,3,7359,18737849.92,13926000.36
Sucursal Centro,Coca Cola,2022,3,13229,47793830.69,35827182.02
Sucursal Centro,Fanta,2022,3,1195,1408527.61,929493.56
Sucursal Centro,Sprite,2022,3,6467,15853905.9,10434163.6
Sucursal Centro,7 Up,2022,3,2315,3509233.12,2354992.74
Sucursal Centro,Pepsi,2022,3,7555,18196743.17,14457447.01
Sucursal Sur,Coca Cola,2022,3,11609,37224983.99,22958339.81
Sucursal Sur,Fanta,2022,3,1243,1558224.06,989983.79
